8,0
a,0
а,0
в,0
к,0
о,0
с,0
у,0
я,0
an,0
be,0
by,0
до,0
ну,0
со,0
те,0
was,0
все,0
нет,0
про,0
does,0
must,0
were,0
whom,0
день,0
лечь,0
либо,0
этот,0
which,0
белый,0
везти,0
вести,0
выйти,0
ждать,0
ковер,0
орать,0
песок,0
свеча,0
сытый,0
такие,0
висеть,0
гореть,0
камень,0
кружка,0
курить,0
липкий,0
мелкий,0
мирный,0
новыми,0
подвал,0
пройти,0
пытать,0
разный,0
ровный,0
сидеть,0
спасти,0
спелый,0
съесть,0
тайный,0
теплый,0
упасть,0
яблоко,0
быстрый,0
вернуть,0
вызвать,0
который,0
мировой,0
обижать,0
открыть,0
плоский,0
подойти,0
понести,0
прошлый,0
прыгать,0
торчать,0
хватать,0
выносить,0
добывать,0
заводить,0
заходить,0
касаться,0
надоесть,0
называть,0
нарушать,0
опускать,0
оставить,0
остаться,0
отходить,0
побывать,0
показали,0
поражать,0
привезти,0
привести,0
решаться,0
рисовать,0
смеяться,0
сожалеть,0
вражеский,0
вспомнить,0
встречать,0
выдержать,0
вырастать,0
достигать,0
заключать,0
закричать,0
обсуждать,0
объявлять,0
описывать,0
открыться,0
отпустить,0
оформлять,0
повторять,0
подавлять,0
подходить,0
послушать,0
поступать,0
приезжать,0
разбудить,0
сделаться,0
соединять,0
сохранять,0
выделяться,0
выхаживать,0
добиваться,0
какой-либо,0
напоминать,0
находиться,0
непонятный,0
определять,0
относиться,0
переходить,0
поделиться,0
показаться,0
потянуться,0
превращать,0
просторный,0
прохладный,0
радоваться,0
стабильный,0
улыбнуться,0
абстрактный,0
бесконечный,0
монохромный,0
переставать,0
подтвердить,0
производить,0
современный,0
увеличиться,0
отказываться,0
предполагать,0
приближаться,0
признаваться,0
скучный день,0
предоставлять,0
сомневающийся,0
демонстрировать,0
продемонстрировать,0
r,1
ai,1
go,1
ml,1
n1,1
nf,1
qa,1
s3,1
ux,1
api,1
cnn,1
dei,1
edr,1
erp,1
hgt,1
hmc,1
mlx,1
mpc,1
ndr,1
nlp,1
ray,1
rnn,1
soc,1
sre,1
sse,1
вес,1
abac,1
auto,1
axon,1
glow,1
hive,1
ipfs,1
iris,1
java,1
mean,1
memm,1
nuts,1
rgcn,1
saml,1
tune,1
банк,1
джун,1
диск,1
мидл,1
патч,1
юнит,1
ядро,1
agile,1
cloud,1
comet,1
front,1
gibbs,1
linux,1
neo4j,1
query,1
scrum,1
solid,1
stack,1
swift,1
train,1
ui/ux,1
unity,1
бэкап,1
грейд,1
кибер,1
книга,1
поиск,1
сокет,1
умный,1
automl,1
canary,1
devops,1
gemini,1
hadoop,1
kibana,1
metric,1
milvus,1
python,1
unreal,1
бэкенд,1
деплой,1
запрос,1
логика,1
нейрон,1
объект,1
память,1
пароль,1
парсер,1
платеж,1
сеньор,1
физика,1
чатбот,1
bugsnag,1
chatbot,1
chatgpt,1
fintech,1
gateway,1
grafana,1
gremlin,1
mailbox,1
modular,1
monitor,1
netflix,1
retrain,1
simhash,1
декодер,1
парсинг,1
паттерн,1
признак,1
прогноз,1
трекинг,1
хранить,1
diffpool,1
dopamine,1
fastmail,1
hastings,1
indexing,1
metabase,1
metadata,1
metaflow,1
rabbitmq,1
webauthn,1
механизм,1
облачные,1
опенсорс,1
фронтенд,1
фуллстэк,1
dynatrace,1
embedding,1
keystroke,1
roundcube,1
terraform,1
ассистент,1
настройка,1
обработка,1
онбординг,1
офбординг,1
оценивать,1
программа,1
процессор,1
рендеринг,1
семантика,1
фреймворк,1
crossmodal,1
javascript,1
mailspring,1
metropolis,1
midjourney,1
mimestream,1
monitoring,1
postgresql,1
well-being,1
библиотека,1
веб-сервер,1
вычисления,1
инструмент,1
интеграция,1
кибератака,1
легаси-код,1
мониторинг,1
пет-проект,1
пребординг,1
репликация,1
саббатикал,1
skill-based,1
transformer,1
логирование,1
реляционная,1
хэширование,1
hr-аналитика,1
orchestrator,1
passwordless,1
аутплейсмент,1
благополучие,1
кибершпионаж,1
конфигурация,1
операционная,1
пользователь,1
рекуррентный,1
устойчивость,1
one-day-offer,1
